hanzi,pinyin,definition 
纁,xūn,"light red, pink"
葰,suī,
郇,huán,an ancient feudal State in Shaanxi
躄,bì,"cripple, lame"
茼,tóng,Chrysanthemum coronarium
洧,wěi,name of a river in honan
滠,shè,river in Hubei province
澉,gǎn,to wash name of a place
鎭,zhèn,"town, market place; suppress"
铏,xíng,sacrificial cauldron
閤,gé,small side door; chamber
赆,jìn,farewell present
赇,qiú,bribe
顣,cù,frown
骕,sù,name of a famous horse
飑,biāo,storm
訄,qiú,
輓,wǎn,mourn; pull; draw
鉤,gōu,"hook, barb; sickle; stroke with"
鋹,chǎng,sharp; a keen edge; sharp point
钘,xíng,ancient wine vessel
陁,tuó,"a steep bank, a declivity"
耱,mò,a kind of farm tool
繫,xì,"attach, connect, unite, fasten"
鋵,tū,
鱵,zhēn,
黨,dǎng,"political party, gang, faction"
禿,tū,"bald, bare, stripped"
貧,pín,"poor, impoverished, needy"
買,mǎi,"buy, purchase; bribe, persuade"
賈,jiǎ,"surname; merchant; buy, trade"
榀,pǐn,
緣,yuán,"hem, margin; reason, cause; karma, fate"
膶,rùn,(Cant.) liver
茐,cong,
螝,guī,
訙,xùn,
誘,yòu,"persuade, entice, induce; guide"
賦,fù,tax; give; endow; army; diffuse
贅,zhuì,"unnecessary, superfluous"
鄬,wéi,place in Henan province
釤,shàn,samarium
鍵,jiàn,"door bolt, lock bolt; key"
閮,tíng,
隻,zhī,"single, one of pair, lone"
飽,bǎo,
齒,chǐ,"teeth; gears, cogs; age; KangXi radical 211"
鯆,pū,the skate or ray
逿,dàng,"a time; a row; to fall, miss"
鮀,tuó,snakefish
鯝,gù,fish guts
鰁,quán,name of fish
鱤,gǎn,
郕,chéng,state in Shandong province
镴,là,solder; tin
韻,yùn,rhyme; vowel
鮄,fú,gurnard
鲙,kuài,minced fish; hash
鳁,wēn,sardine
齁,hōu,"snore loudly; very, extremely"
舖,pù,"store, shop"
膹,fèn,
袣,yì,
謿,cháo,"ridicule, deride, scorn, jeer at"
陧,niè,in disorder; a dangerous condition of the State
坜,lì,"a hole, pit"
坫,diàn,a stand on which to replace goblets after drinking
甍,méng,rafters supporting roof tiles
绠,gěng,well rope
恝,jiá,carefree; indifferent manner; without sorrow
飗,liú,soughing of wind; noise
镙,luó,
镱,yì,ytterbium
騾,luó,mule
魋,tuí,bear
硱,kǔn,
祫,xiá,
筍,sǔn,bamboo shoot; joint; tendon
箖,lín,
袧,gōu,
迯,táo,"escape, flee; abscond, dodge"
郙,fǔ,to be exiled; delay payment for
酖,zhèn,wine with bird poison added
遘,gòu,to meet; to come across
阘,dá,upper-story door or window
眭,suī,evil look of deep-set eyes
餗,sù,a pot of cooked rice
耖,chào,
鯒,yǒng,a flathead (fish)
邶,bèi,
絼,zhěn,
颥,rú,the temporal bone
篚,fěi,round or oval covered-baskets with short legs
鳘,mǐn,codfish
䥺,yé,"(same as 鋣) name of a double-edged sword, (simplified form 釾) a chemical element (鎄) (Es)"
虒,sī,an amphibious beast resembling a tiger with one horn; place name
裈,kūn,"trousers, pants, shorts, drawers"
遆,tí,
麑,ní,"fawn, young deer"
粚,lí,
託,tuō,"entrust, rely on; commission"
鄚,mào,
軌,guǐ,"track, rut, path"
饋,kuì,offer food superior; send gift
銳,ruì,"sharp, keen, acute, pointed"
粌,yin,
紙,zhǐ,paper
職,zhí,"duty, profession; office, post"
臏,bìn,the kneecap
莖,jīng,"stem, stalk"
葌,jiān,
豬,zhū,"pig, hog"
貏,bǐ,
違,wéi,"disobey, violate, defy; be apart from"
鄉,xiāng,country; rural; village
闅,wén,
闊,kuò,"broad, ample, wide; be apart"
頂,dǐng,"top, peak; carry on head; very"
飢,jī,"hunger, starving; hungry; a famine"
驅,qū,"spur a horse on; expel, drive away"
魚,yú,fish; surname; KangXi radical 195
鳉,jiāng,name of fish
鴱,ài,
鶎,zun,
黴,méi,"mold, mildew; bacteria, fungi"
祼,guàn,libation
鬛,liè,"variant of 鬣 U+9B23, a mane"
镈,bó,"large bell; hoe, spade"
瞓,shuì,to sleep
罶,liǔ,fishing trap
羑,yǒu,a guide to goodness
黉,hóng,school
霚,wù,
笹,ti,small bamboo
郐,kuài,
溻,tā,wet
骯,āng,dirty
礡,bó,"fill, extend"
袉,tuó,
訚,yín,speak gently; respectful
谉,shěn,
莛,tíng,"stalks of grasses, etc."
哕,huì,belch; vomit
滗,bì,drain
瀹,yuè,"to boil; to wash, to cleanse, to soak"
鏰,bèng,"coin, money"
稃,fū,
眰,diè,
眳,míng,
矞,yù,"bore with awl; bright, charming"
硚,qiáo,
禋,yīn,offer sacrifice; sacrifice
翀,chōng,fly upward
苾,bì,"smell, fragrance, aroma"
襕,lán,
趥,qiū,
茺,chōng,
軿,píng,curtained carriage used by women
逌,yōu,please; smiling; complacent
唪,fěng,"to recite, to intone or chant"
庳,bì,a low-built house
殪,yì,"die; kill, exterminate"
隃,shù,to exceed; a state in Shanxi province
糈,xǔ,sacrificial rice; rations; pay
鲄,hé,
龜,guī,turtle or tortoise; cuckold
碕,qí,"a cape, spit, promontory"
鲣,jiān,"skipjack, bonito"
綎,tīng,silk braided cord
栝,guā,
轵,zhǐ,end of axle; divergent
雔,chóu,
頠,wěi,quiet
穈,méi,millet
翃,hóng,fly
膭,guī,
衒,xuàn,"brag; show off, promote oneself"
盇,hé,why not? would it not be better to?
礦,kuàng,"mine; mineral, ore"
譢,suì,
鳰,ru,
遞,dì,"hand over, deliver; substitute"
鴫,tian,a snipe
笟,gū,
莾,mǎng,
蒼,cāng,blue; green
蟬,chán,cicada; continuous
袑,shào,
訒,rèn,"hesitate to say, reluctant to speak"
講,jiǎng,explain; discuss; talk
讝,zhán,
購,gòu,"buy, purchase; hire"
趕,gǎn,"pursue, follow; expel, drive away"
鈧,kàng,scandium
鈩,lu,"fireplace, stove, oven, furnace"
閃,shǎn,"flash; avoid, dodge, evade"
閷,shài,
頉,yí,cheeks; jaw; chin; rear; nourish
髤,xiū,
龤,xié,to harmonize; to accord with; to agree
薿,nǐ,flower
鱥,guì,
觝,dǐ,"gore, butt; resist; push"
鮻,suō,dace; Canton dace
鳤,guǎn,
穉,zhì,"young grain; young, tender"
觱,bì,tartar horn; chilly wind
轘,huán,tear asunder between chariots
鐓,duì,ferrule; castrate
筘,kòu,
鲝,zhǎ,
睏,kùn,"be tired, sleepy"
蔸,dōu,counter for plant
镚,bèng,small coin
痦,wù,
秵,yīn,
臎,cuì,
葴,zhēn,
蝟,wèi,hedgehog
訂,dìng,draw up agreement; arrange
泖,mǎo,still waters; river in Jiangsu
骟,shàn,"geld, castrate"
锽,huáng,weapon
犋,jù,
眵,chī,eyes diseased and dim
耩,jiǎng,to plough. to sow
筢,pá,rake
躔,chán,"follow in, imitate; rut, path"
鬏,jiū,a coiffure on top of the head
黪,cǎn,grey black
䞍,qíng,"(simplified form of 䝼) to bestow, to confer upon; to grant to"
祔,fù,
箠,chuí,horse whip; flog
舲,líng,small boat with windows; houseboat
蒷,yún,
蜺,ní,reflection of rainbow
襢,tǎn,strip; lay bare; bared; naked
謺,zhé,
劐,huō,destroy
貯,zhù,"store, stockpile, hoard"
搋,chuāi,to thump
醊,zhuì,to pour wine in a libation
廒,áo,a granary
洚,jiàng,a flood
胲,hǎi,
韥,dú,
饘,zhān,gruel
馂,jùn,leftovers
筅,xiǎn,bamboo brush; halberd
鳆,fù,abalone
鲊,zhǎ,minced and salted fish; to preserve
麗,lì,"beautiful, magnificent, elegant"
篸,cǎn,"a basket, hod, scuttle; a hairclasp"
腄,chuí,
臑,nào,soft
诐,bì,argue; biased; one-sided
仳,pǐ,"separate, part company"
趩,chì,
篩,shāi,"sieve, filter, screen; sift"
簾,lián,"a blind, screen, curtain"
絪,yīn,matting; coverlet; cloudy
绹,táo,"to braid, twist; twisted or braided"
膵,cuì,pancreas
蕗,lù,leucacene
蝘,yǎn,"gecko, kind of cicada"
袠,zhì,book cover; satchel or bag
賸,shèng,"leftovers, residue, remains"
葙,xiāng,feather cockscomb (Celosia argentea)
遊,yóu,"wander, roam, travel"
饑,jī,"starve, be hungry; famine"
驀,mò,"suddenly, quickly, abruptly"
祪,guǐ,
禘,dì,imperial ancestor worship
臺,tái,"tower, lookout; stage, platform"
菍,niè,
髒,zāng,dirty; firm; fat
軸,zhóu,"axle, axletree; pivot; axis"
釘,dīng,"nail, spike; pursue closely"
頃,qǐng,a moment; a measure of area equal to 100 mu or 6.7 hectares; to lean
仉,zhǎng,surname of the mother of Mencius
氕,piē,"hydrogen-1, protium"
矔,guàn,
緒,xù,end of thread; thread
脅,xié,ribs; armpits; flank; threaten
臒,wò,
苿,wèi,
菢,bào,to incubate; to brood; to hatch
蔂,léi,"basket, hod"
藞,lǎ,
袩,zhé,
貞,zhēn,"virtuous, chaste, pure; loyal"
賣,mài,sell; betray; show off
跍,kū,
跓,zhù,
蹤,zōng,"footprints, traces, tracks"
軍,jūn,"army, military; soldiers, troops"
邿,shī,a state in Shandong province
鄰,lín,neighbor; neighborhood
醿,mí,
鈨,yuan,
鋼,gāng,"steel; hard, strong, tough"
駵,liú,
駸,qīn,galloping; speeding
鰪,é,
鱾,jǐ,name of fish
䝼,jìng,"to bestow, to confer upon; to grant to"
賨,cóng,tribute paid in cloth by the tribes in Szechwan and Yunnan under the Han dynasty
艞,yào,
鹟,wēng,
钁,jué,a mattock; a billhook
鞓,tīng,
鰉,huáng,sturgeon
監,jiān,"supervise, control, direct"
穊,jì,plough deep; sown slowly
蕡,fén,hemp seeds; plant with abundant
鑨,lóng,
楱,zòu,
靹,nà,
鷃,yàn,quail
鼱,jīng,
眫,mǐ,
艆,láng,
褯,jiè,
剞,jī,carving or engraving knife; grave
蔟,cù,frame on which silkworms spin
靿,yào,the leg of a boot
飭,chì,order; command; give command
瘼,mò,sickness; distress
酴,tú,"leaven, yeast; wine"
鼢,fén,a variety of mole
睆,huàn,bright
硁,kēng,the sound of stones knocking together
秬,jù,black millet
穪,chēng,to praise
筦,guǎn,a key; to be in charge; a pipe
粡,tóng,
粣,cè,
綖,yán,the hanging flap in the front of a hat
裏,lǐ,"inside, interior, within"
刭,jǐng,cut throat
跼,jú,"bent, stooped, crouched; contract"
蒇,chǎn,"finish, complete; solve; complete"
挢,jiǎo,correct
邆,téng,
彡,shān,hair; KangXi radical 59
猃,xiǎn,dog
闉,yīn,"curved, bent; a curved wall"
阓,huì,gate of a market
阛,huán,wall around market place
靺,mò,stocking; the Tungusic tribe
鞨,hé,tribe
铥,diū,thulium
瘅,dān,to hate bitterly; drought; dry
駰,yīn,grey horse
騻,shuāng,horse
箅,bì,
箢,yuān,
觖,jué,to long for; dissatisfied to criticize
麆,zhù,
齮,yǐ,bite
糀,hua,
虯,qiú,young dragon
瘊,hóu,"warts, pimples"
絛,tāo,"silk braid, sash"
聴,tīng,"hear, listen; understand; obey"
蘭,lán,"orchid; elegant, graceful"
讬,tuō,"entrust, rely on; commission"
揲,dié,to sort out the stalks used in divination; to fold
镮,huán,metal ring; measure of currency
钷,pǒ,promethium
睪,yì,spy on
砲,pào,"gun, cannon"
稅,shuì,"taxes, revenue, duty; tax"
翫,wán,"careless, play; a legendary archer"
荅,dā,answer: small bean; thick
菉,lù,the green bamboo; greenish bamboo
袚,bō,greave; knee-pads; buskins
褋,dié,
贠,yuán,"member; personnel, staff member"
跡,jī,"search, track, trace"
踦,yǐ,the shin; to pierce; to touch
遯,dùn,"deceive, hide, conceal; flee"
鉅,jù,"steel, iron; great"
鎌,lián,sickle
靉,ài,"cloudy sky; dark, obscure"
韲,jī,"break or smash into pieces, pulverize"
餖,dòu,food item set out for show only
鶺,jí,wagtail
麕,jūn,"muntjac deer, hornless river deer"
瞼,jiǎn,eyelid
菵,wǎng,
蟭,jiāo,very small bug
錏,yā,soft steel; ammonium
踐,jiàn,"trample, tread upon, walk on"
輾,zhǎn,"turn over, roll"
銷,xiāo,"melt, fuse; market, sell; to pass time, finish, cancel"
閣,gé,"chamber, pavilion; cabinet"
頁,yè,"page, sheet, leaf; rad. no. 181"
驟,zhòu,procedure; gallop; sudden(ly)
碼,mǎ,"number, numerals; yard; symbol"
禎,zhēn,"lucky, auspicious, good omen"
禦,yù,"defend, resist, hold out against"
稖,bàng,
稟,bǐng,"report to, petition"
竇,dòu,"surname; hole, burrow; corrupt"
笇,suàn,
篂,xīng,
緛,ruǎn,
編,biān,"knit, weave; arrange; compile"
縿,shān,streamer
舊,jiù,"old, ancient; former, past"
蓴,chún,"edible water plant, bracenia"
蕚,è,the calyx of a flower; younger brother
蘆,lú,"rushes, reeds"
蝿,yíng,flies
袃,chài,
親,qīn,"relatives, parents; intimate"
訴,sù,accuse; sue; inform; narrate
讕,lán,"accuse falsely; slander, libel"
讚,zàn,"praise, commend, eulogize"
財,cái,"wealth, valuables, riches"
贏,yíng,"win; surplus, gain, profit"
軅,yan,
軓,fàn,
釙,pò,polonium
鉄,zhí,"iron; strong, solid, firm"
錆,qiāng,the color of a mineral
閶,chāng,gate of heaven; main gate of palace
鯕,qí,coryphaena hippurus
鶕,ān,
麨,chǎo,
䜩,yàn,"(simplified form of 讌) a feast, banquet; to entertain, feast"
䴗,jú,a shrike
脭,chéng,
鲯,qí,coryphaena hippurus
鐏,zūn,cap
魾,pī,
眎,shì,"look at, inspect, observe, see"
睞,lài,squint at; sidelong glance
窋,zhú,
籠,lóng,cage; cage-like basket
綠,lǜ,green; chlorine
縡,zài,"matter, affair"
縫,fèng,"sew, mend"
肅,sù,pay respects; reverently
鉏,chú,"hoe; eradicate, eliminate"
謦,qìng,to speak softly
麹,qū,"yeast, leaven; surname"
蔔,bó,radish; other root vegetables
繐,suì,fine cloth
眥,zì,eye sockets; corner of the eyes
粺,bài,polished rice or millet
缊,yūn,"tangled hemp, raveled silk; vague, confused"
艈,yù,
蓇,gǔ,follicles of plants
蛣,qī,(dung) beetle
蹾,dūn,to squat; to crouch
掎,jǐ,"drag aside, pull; drag one foot"
哜,jì,sip
鄦,xǔ,
陞,shēng,"promote, rise, ascend"
韰,xiè,
飖,yáo,"floating in air, drifting with wind"
镲,chǎ,cymbals
麃,páo,"till, plow"
禑,wú,happy; used in historical names
筰,zuó,cable
聠,pīng,
茷,fá,flutter; flower
螀,jiāng,kind of cicada
袞,gǔn,ceremonial dress worn by the emperor
褧,jiǒng,unlined clothes; light overcoat
賮,jìn,farewell gift
赗,fèng,gift
踡,quán,"curled, coiled"
揞,ǎn,to cover (with the hand)
遝,tà,"mixed, abundant, assorted"
酂,cuó,collect; small administration
酇,zàn,collect; small administration
醜,chǒu,"ugly looking, homely; disgraceful"
檑,léi,
雮,mù,
氍,qú,fine woollen cloth; a mat used by the emperor in worshipping god
腙,zōng,an organic compound
飩,tún,stuffed dumplings
痖,yǎ,dumb
髣,fǎng,"similar to, like"
髳,máo,state
酎,zhòu,"double-fermented wine, vintage wine"
鲒,jié,clam; oyster
鲪,jūn,
鹯,zhān,hawk; Butastur indicus
麜,lì,
齸,yì,
齻,diān,
粩,lao,
詣,yì,"reach; achievement, accomplishment"
隄,dī,"dike, embankment"
簰,pái,bamboo raft
蒾,mí,
蓏,luǒ,fruit of plant; melon
薳,wěi,name of a herb; surname; (Cant.) a plant stem
藛,xiě,
蚢,háng,
蓠,lí,gracilaria verrucosa
蓰,xǐ,to increase five-fold
遡,sù,go upstream; trace source; formerly
郋,xí,
鄜,fū,county in Shanxi province
錞,chún,instrument
靣,miàn,
鸂,xī,"Mandarin duck, Aix galericulata"
麐,lín,female of Chinese unicorn
麚,jiā,
齧,niè,"bite, gnaw; wear down, erode"
䌷,chōu,(simplified form of 紬) a thread; a clue
睊,juàn,"see, look, gaze at; askance"
砢,kē,pile of stones
碻,què,solid
絃,xián,string on musical instrument
茝,chǎi,
菴,ān,small Buddhist monastery
袥,tuō,
襍,zá,"mixed, blended; mix, mingle"
覗,sì,peek
詩,shī,"poetry; poem, verse, ode"
諥,zhòng,
跂,qí,"creeping, crawling"
辵,chuò,walk; walking; KangXi radical 162
邅,zhān,"hesitant, faltering"
醨,lí,dregs of wine
頍,kuǐ,
疰,zhù,
觜,zī,beak
鴿,gē,"pigeon, dove; Columba species (various)"
笭,líng,bamboo screen
糷,làn,
纘,zuǎn,"continue, carry on, succeed"
翉,běn,
胵,chī,"(Cant.) 芙胵, the gizzard and liver of domestic fowl"
芖,zhì,
蔣,jiǎng,surname; Hydropyrum latifalium
蔦,niǎo,the convovulvus; parasitic plants such as mistletoe; Ribes ambiguum
蛚,liè,
蛯,lao,shrimp
蜏,yǒu,
讞,yàn,"to decide, judge; a verdict, decision"
賲,bǎo,
钃,shǔ,
餈,cí,rice cake
馧,yūn,
麤,cū,"rough, coarse, big, rough"
鼶,sī,
禱,dǎo,"pray; entreat, beg, plead; prayer"
臓,zàng,"internal organs, viscera"
鈍,dùn,"blunt, obtuse; dull; flat; dull-witted"
錫,xī,"tin, stannum; bestow, confer"
紛,fēn,"in disorder, scattered, tangled"
遙,yáo,"far away, distant, remote"
螣,tè,mythological wingless dragon of
铽,tè,terbium
竝,bìng,
粊,bì,
紗,shā,"gauze, thin silk; yarn, thread"
紮,zā,"tie, fasten, bind"
絺,chī,fine linen; fine hemp fiber
絿,qiú,urgent
緯,wěi,woof; parallels of latitude
脦,de,
臇,juǎn,"fat, rich; a stew of fish"
臋,tún,
葍,fú,plant
葞,mǐ,
葯,yào,orris root; leaf of the iris; medicine
葻,lán,
藙,yì,dogwood
蜔,diàn,inlaid shell-work
螕,bī,"a tick, mite"
蟻,yǐ,ants
襲,xí,"raid, attack; inherit"
觼,jué,buckle
觿,xī,"a bodkin made of ivory, horn"
詼,huī,"tease, joke with; ridicule, mock"
諝,xū,knowledge; discrimination; treachery
貨,huò,"goods, commodities, products"
賀,hè,congratulate; send present
趧,tí,
跉,líng,
躍,yuè,"skip, jump, frolic"
軒,xuān,carriage; high; wide; balcony; surname of the Yellow Emperor
輪,lún,"wheel; revolve, turn; recur"
邉,biān,"edge, margin, side, border"
鄶,kuài,
酁,chán,
釀,niàng,"brew, ferment"
鈾,yóu,uranium
鈿,tián,"hairpin; gold inlaid work, filigree"
鍊,liàn,"smelt metals, forge; refine"
闀,xiàng,
闄,yǎo,
腽,wà,fat
霧,wù,"fog, mist, vapor, fine spray"
韌,rèn,"strong and pliable, resilient; (Cant.) tough, elastic"
頎,qí,tall and slim
額,é,"forehead; tablet, plaque; fixed"
顫,chàn,"shiver, tremble; trembling"
顬,rú,the temporal bone
蚘,huí,tapeworm
蝺,qǔ,
蠶,cán,silkworms
裀,yīn,"mat, coverlet; underwear"
詧,chá,to examine into judicially to find out
貍,lí,a fox-like animal
踘,jū,ball
蹷,jué,"to kick back; to stumble, slip, fall"
蟓,xiàng,
盦,ān,lid of a caldron; Buddhist cloister
瞆,kuì,dim
矰,zēng,arrow with attached silk cord
磥,lěi,a heap of stones; boulders
祮,gào,
稛,kǔn,bind
箾,shuò,"musical instrument like pan-pipes, bamboo flute"
翂,fēn,
胊,qú,yoke
蓺,yì,"art; talent, ability; craft"
薾,ěr,luxuriant growth of flower
襱,lóng,legs of trousers; overalls worn by workmen
覅,fiào,
讏,wèi,
跅,tuò,"careless, lax; dissolute"
踆,cūn,squat
蹔,zàn,temporary; fleeting; ephemeral
軐,xìn,
轪,dài,
鄤,màn,place in Henan province
醰,tán,bitter taste in wine; rich; full flavoured
鑟,dú,
铔,yà,soft steel; ammonium
閛,pēng,
陙,chún,
霳,lóng,
顑,kǎn,yellow
镤,pú,protactinium (Pa)
鵲,què,magpie; Pica species (various)
竚,zhù,stand and wait for long time
紩,zhì,to sew
聦,cōng,"the hearing, to listen; astute; clever; quick of apprehension"
餅,bǐng,"rice-cakes, biscuits"
鶄,jīng,a kind of water bird
競,jìng,"contend, vie, compete"
簷,yán,eaves of house; brim
糵,niè,fermenting grain; grain which has sprouted; yeast
紖,zhèn,a rope for leading cattle or horse
訪,fǎng,"visit; ask, inquire"
豎,shù,vertical; perpendicular; upright
趦,zī,unable to move; to falter
隸,lì,be subservient to; servant
禠,sī,happy
籓,fān,sieve; basket
镥,lǔ,lutetium
盜,dào,"rob, steal; thief, bandit"
矝,lín,
笖,yǐ,
笧,cè,to entwine around; check (a current) with a weir
簢,mǐn,
簻,zhuā,empty
籌,chóu,"chip, tally, token; raise money"
粍,zhé,millimetre
綍,fú,rope
縕,yūn,"tangled hemp, raveled silk; vague, confused"
罋,wèng,earthen jar; jar for ashes
罷,bà,"cease, finish, stop; give up"
翜,shà,
膰,fán,to cook meat for a sacrifice or offering
膲,jiāo,(medicine) the three divisions of the viscera
菂,dì,
葦,wěi,reed
薢,xiè,woody climbing plant
藷,shǔ,"yam, tuber, potato"
螞,mǎ,ant; leech
蠻,mán,"barbarians; barbarous, savage"
袀,jūn,
袐,bì,
覍,biàn,
訌,hòng,confusion; internal strife
訛,é,"swindle, cheat; erroneous, wrong"
詿,guà,"error, mistake; deceive, mislead"
諄,zhūn,"patient, earnest; earnestly"
譜,pǔ,"register, list, table; musical score"
豈,qǐ,how? what?
賢,xián,"virtuous, worthy, good; able"
賹,yì,
遷,qiān,"move, shift, change; transfer"
釛,bā,
鈣,gài,calcium
鈱,mín,
鈶,sì,
鍛,duàn,"forge metal; temper, refine"
鍦,shī,
鐵,tiě,"iron; strong, solid, firm"
閯,shà,
閺,wén,
閻,yán,village gate; surname
隂,yīn,"shady, secret, dark; mysterious; cold; the negative of female principle in nature"
頌,sòng,"laud, acclaim; hymn; ode"
頰,jiá,"cheeks, jaw"
顆,kē,"grain, kernel"
顪,huì,
飼,sì,raise animals; feed; nourish
駕,jià,"to drive, sail, fly; a cart, carriage"
駝,tuó,a camel; humpbacked; to carry on the back
驌,sù,name of a famous horse
驘,luó,mule
鰠,sāo,carp
鰹,jiān,"skipjack, bonito"
鲗,zéi,cuttlefish
鶒,chì,a duck-like bird
鶗,tí,a kind of hawk; cuckoo
鷥,sī,egret; Egretta garzetta
鷹,yīng,"eagle, falcon; Accipiter species (various)"
齊,qí,"even, uniform, of equal length"
硙,wéi,stone mill; grind; break apart
禜,yǒng,sacrifice
糢,mó,rice snacks
藠,jiào,
镦,duì,ferrule; castrate
蕂,shèng,sesame
霮,dàn,
沩,wéi,name of a river in Shanxi
颼,sōu,sound of wind; blow chilly
禬,guì,
鴪,yù,swoop
鮨,yì,seasoned rice mixed with fish or vegetables
鱣,zhān,sturgeon
盝,lù,drip
眹,zhèn,pupil
睖,lèng,to stare straight ahead
磫,zōng,
禫,dàn,
繨,da,a knot (of a rope)
薦,jiàn,"offer, present; recommend"
褱,huái,"to carry in the bosom or the sleeve; to wrap, to conceal"
鏏,wèi,
鮁,bō,the bonito
鹓,yuān,co-worker
繟,chǎn,
繺,shǎi,
沲,tuó,float
餦,zhāng,"candy, pastry"
篤,dǔ,"deep, true, sincere, genuine"
踺,jiàn,
祦,wú,happiness; good fortune good luck; blessing; bliss
篲,huì,broomstick
糰,tuán,rice ball
絙,huán,
纄,péng,
脝,hēng,distend
茊,zī,
菫,jǐn,"celery, aconite"
蓞,dàn,
酦,fā,"fermentation, brewing"
醾,mí,
锳,yīng,
钶,ē,columbium
鲼,fèn,fish
齄,zhā,red sores on nose
鴨,yā,duck; Anas species (various)
鷧,yì,cormorant
㧟,kuǎi,"(simplified form of 擓) to wipe; to scrub; to rub, to dust; to clean, (a dialect) to scratch with fingers lightly, (a dialect) to carry on the arm"
祋,duì,
箯,biān,bamboo palanquin
粐,hu,
粦,lín,phosphorus
粭,he,
紃,xún,a cord
脰,dòu,the neck
芃,péng,luxuriant growth
苽,gū,"bulrush, Zizania latifolia"
莿,cì,thorn
菆,zōu,jungle
藗,sù,
藧,huàn,
袵,rèn,lapel; hidden lapel of coat
裯,chóu,coverlet; bedspread
褵,lí,bridal veil
襆,fú,hood or cowl
詤,huǎng,to make wild statements to lie; to misstate; lies falsehood
譓,huì,
跊,mèi,
軈,ying,"soon after, soon; almost; no more than; after all"
苘,qǐng,Indian mallow
迺,nǎi,"then, thereupon, only then"
掭,tiàn,to manipulate; a pricker for a lamp-wick
邇,ěr,"be near, be close; recently"
邘,yú,state in Henan province
鄳,méng,
猸,méi,a kind of animal
艴,fú,the countenance changing
鑕,zhì,"tungsten, wolfram"
柃,líng,
闒,tà,upper-story door or window
毹,shū,
脶,luó,lines
颋,tǐng,straight
鵀,rén,hoopoe
鶜,máo,
鶟,tú,
鷱,gāo,
鷲,jiù,"condor, vulture"
鹍,kūn,a bird resembling the crane
麖,jīng,
䦆,jué,"(simplified form) a big hoe, to eliminate; to uproot; to clear; to dig; to excavate"
軎,wèi,a brass parts for a cart in ancient China
稂,láng,grass; weeds
蒞,lì,"reach, arrive; manage"
蠆,chài,a kind of scorpion; a sting in the tail
褲,kù,"trousers, pants"
佧,kǎ,
紵,zhù,ramie; sack cloth
緌,ruí,tassels hanging from hat
蠾,zhú,
裲,liǎng,waistcoat
郈,hòu,place in Shandong province
鋐,hóng,
餱,hóu,"dry goods, dry provisions"
瓞,dié,young melons just forming
驙,zhān,
鯙,chún,Scomberomorus sinensis
眆,fǎng,indistinct
睠,juàn,to care for; love
瞫,shěn,look
矅,yào,
碃,qìng,
禃,zhí,
秔,jīng,non-glutinous rice
穻,yū,
箇,gè,"numerary adjunct, piece; single"
籐,téng,"climbing plants, vines, cane"
絏,xiè,"rope, cable; reins; to tie up, bind"
纕,rǎng,belt
翐,zhì,
耈,gǒu,old age
耎,ruǎn,"weak, pliable, soft, yielding"
脷,lì,(Cant.) tongue
膕,guó,hollow
艐,kè,
艷,yàn,"beautiful, sexy, voluptuous"
苙,lì,a pig-sty; a kind of medicinal plant
葹,shī,"kind of chrysanthemum, xanthium"
蓂,míng,lucky place
蔲,kòu,nutmeg
薋,cí,
蛷,qiú,
蜑,dàn,egg
衂,niù,to be defeated
衋,xì,
袿,guī,gown
訕,shàn,"abuse, slander; vilify; ridicule"
訝,yà,"express surprise, be surprised"
詠,yǒng,"sing, hum, chant"
誳,qū,
諆,qī,to cheat
讱,rèn,"hesitate to say, reluctant to speak"
軃,duǒ,
轝,yù,"envy; hate, dislike; resentment"
郀,kū,
郵,yóu,"postal, mail; post office"
鉐,shí,
鍧,hōng,
鍼,zhēn,"needle, pin, tack; prick; inject"
鏦,cōng,a short spear
镵,chán,"spade, trowel"
閭,lǘ,village of twenty-five families
闢,pì,"open; settle, develop, open up"
陗,qiào,a steep hill; precipitous
陼,zhǔ,islet
韈,wà,"socks, stockings"
骫,wěi,
骳,bèi,
骹,qiāo,(Cant.) a joint
髠,kūn,shave head as punishment; prune
髥,rán,beard; mustache
鳒,jiān,big-mouthed flounder
鶡,hé,"crossbill, species of nightingale"
龒,lóng,dragon
籂,shi,
翯,hè,glistening plumage; reflection of the sun on water
莚,yán,"bamboo mat; feast, banquet"
萗,cè,
転,zhuǎn,"shift, move, turn"
鄷,fēng,
靭,rèn,"strong and pliable, resilient"
馉,gǔ,
騙,piàn,"swindle, cheat out of, defraud"
驊,huá,an excellent horse
鼰,niàn,
綑,kǔn,"coil, roll, bundle, tie up"
績,jī,spin; achievements
臘,là,year end sacrifice; dried meat
臛,huò,broth
賜,cì,"give, bestow favors; appoint"
贈,zèng,"give present; bestow, confer"
蹣,pán,to jump over; to limp
軡,qián,
鋸,jù,a saw; to saw; amputate
錐,zhuī,"gimlet, awl, drill, auger; bore"
顎,è,jaw
瞐,mò,
銶,qiú,chisel
钖,yáng,frontlet
矊,mián,
矘,tǎng,
矚,zhǔ,"watch carefully, stare at, focus on"
矡,jué,
硽,yān,
磿,lì,
礈,zhuì,
礜,yù,
秲,zhì,
窮,qióng,"poor, destitute, impoverished"
竄,cuàn,"run away; revise, edit; expel"
笗,dōng,
箘,jùn,fine bamboo
箽,dǒng,
簍,lǒu,bamboo basket
簜,dàng,bamboo
